"Run.ID","Future.ID","time","S","Delta.Temp","CO2.Concentration","alfa","epsilon","size.factor","Eta.re","Eta.ce","Gamma.re","Gamma.ce","Nu.re","Nu.ce","k.re","k.ce","lambda.S","sigma.utility","Climate.Model","Beta.Delta.Temp","CO2.base","CO2.Disaster","Delta.Temp.Disaster","qsi","Delta.S","S.0","policy.name","Cost.S.Damage","policy.status","Policy.Duration","Policy.Start.Time","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","dS.lag","rho","Region","Ace","Agg.demand.ce.tech","Agg.demand.re.tech","Are","Consumption","Gamma.ce.t","Gamma.re.t","L","Labor.ce","Labor.re","Price.ce","Price.re","Profits.ce","Profits.re","RelLabor","RelPrice","Utility.Consumer","Y","Yce","Yce.0","Yre","Yre.0","labor.growth","sce","sre"
4956,156,2287,826.238849545075,6,1957.99815045493,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"Nordhaus+CoR&DGreenClimateFund+TecS",0,1,295,9.9,0.063,2,0.4,0.15,0,0.063,0.4,0.021,-8.21009038125438,0.008,"N",305.541083700849,215.840719769164,460.105476698141,383.307186606772,532.524569730993,0.25,0.25,1,0.355626820922368,0.644373179077632,1.58382211650104,1.28954002380857,0.954447662819245,6.10375925387754,1.81193639277926,0.814194984634638,-100,606.135110526282,136.278384750679,193.2,303.27841553794,45.55074,0,0.0057699133571063,0.994230086642894
4956,156,2287,826.238849545075,6,1957.99815045493,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"Nordhaus+CoR&DGreenClimateFund+TecS",0,1,295,9.9,0.063,2,0.4,0.15,0,0.063,0.4,0.021,-8.21009038125438,0.008,"S",221.353691256874,816.397241473604,205.89276758684,67.2670633523099,226.444607556401,0.25,0.25,4,3.20795402676248,0.792045973237517,1.09797648289007,2.4217639369789,3.61010860179628,1.63882407288421,0.24690066211356,2.20566102709631,-100,1017.10581221228,743.547110703776,257.54634,83.2323152515723,27.82166,0,0.87774901732143,0.12225098267857
4956,156,2292,784.981497196377,6,1999.25550280362,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"Nordhaus+CoR&DGreenClimateFund+TecS",0,1,295,9.9,0.063,2,0.4,0.15,0,0.063,0.4,0.021,-8.26903209371054,0.008,"N",305.581617720287,214.468495079444,472.587243027277,392.958523148139,540.546796281456,0.25,0.25,1,0.34806841044676,0.65193158955324,1.59979014846825,1.28113296758972,0.9483796852413,6.26934236599986,1.87299843934834,0.80081313715825,-100,615.367166161278,134.060392411337,193.2,313.54993332888,45.55074,0,0.00486426906172255,0.995135730938277
4956,156,2292,784.981497196377,6,1999.25550280362,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"Nordhaus+CoR&DGreenClimateFund+TecS",0,1,295,9.9,0.063,2,0.4,0.15,0,0.063,0.4,0.021,-8.26903209371054,0.008,"S",223.181581775852,822.652220810471,209.205790390598,68.2454888673635,228.555581174692,0.25,0.25,4,3.20264911927413,0.797350880725874,1.09875923222186,2.4134170410846,3.6377681204239,1.665194409193,0.248966043743996,2.19649307173903,-100,1026.59166211857,748.710178431852,257.54634,84.8641015231879,27.82166,0,0.877887286552166,0.122112713447834
4956,156,2297,743.436144822362,6,2040.80085517764,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"Nordhaus+CoR&DGreenClimateFund+TecS",0,1,295,9.9,0.063,2,0.4,0.15,0,0.063,0.4,0.021,-8.32605535811481,0.008,"N",305.615719837246,213.086582129477,485.393075354962,402.861357238648,548.800782746709,0.25,0.25,1,0.340573057728385,0.659426942271615,1.61615862501561,1.27293339948134,0.942268866176547,6.43922453765893,1.93622756500464,0.787628998650455,-100,624.865217446765,131.847566712345,193.2,324.120738932474,45.55074,0,0.00408249676963068,0.995917503230369
4956,156,2297,743.436144822362,6,2040.80085517764,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"Nordhaus+CoR&DGreenClimateFund+TecS",0,1,295,9.9,0.063,2,0.4,0.15,0,0.063,0.4,0.021,-8.32605535811481,0.008,"S",224.970697523004,828.72050360759,212.630409979953,69.2503623123869,230.649155794943,0.25,0.25,4,3.19695998741694,0.803040012583058,1.09960093893171,2.4045566130981,3.66460206695276,1.69245301127643,0.251188634122347,2.18675387403197,-100,1035.99973766946,753.655689320085,257.54634,86.5711251032546,27.82166,0,0.877841755661952,0.122158244338048
4956,156,2302,701.61245894757,6,2082.62454105243,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"Nordhaus+CoR&DGreenClimateFund+TecS",0,1,295,9.9,0.063,2,0.4,0.15,0,0.063,0.4,0.021,-8.38113848416426,0.008,"N",305.644281323033,211.696408647303,498.52972665127,413.021241923638,557.292808141296,0.25,0.25,1,0.33314582724651,0.66685417275349,1.63293200614375,1.26493948922856,0.936121519038372,6.61349535375575,2.00168850459608,0.77464308646615,-100,634.636434275311,129.641900489926,193.2,334.99647316095,45.55074,0,0.00341086100314103,0.996589138996859
4956,156,2302,701.61245894757,6,2082.62454105243,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"Nordhaus+CoR&DGreenClimateFund+TecS",0,1,295,9.9,0.063,2,0.4,0.15,0,0.063,0.4,0.021,-8.38113848416426,0.008,"S",226.721375794097,834.600935564868,216.175606787226,70.2839434688323,232.727021254253,0.25,0.25,4,3.19086804058848,0.809131959411518,1.10050485205729,2.39517143069228,3.69060533706785,1.72067135978361,0.253577380549492,2.17642968698842,-100,1045.33765047915,758.380059846771,257.54634,88.3594035619926,27.82166,0,0.87760402151034,0.12239597848966
4956,156,2307,659.520233432119,6,2124.71676656788,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"Nordhaus+CoR&DGreenClimateFund+TecS",0,1,295,9.9,0.063,2,0.4,0.15,0,0.063,0.4,0.021,-8.43425429478478,0.008,"N",305.668092897097,210.299279372398,512.004227489658,423.443935548556,566.029247152558,0.25,0.25,1,0.32579139188054,0.67420860811946,1.65011498516733,1.25714901958774,0.929943413384745,6.7922480818778,2.06944880964404,0.761855404555493,-100,644.688099049836,127.445227310067,193.2,346.182979571449,45.55074,0,0.00283661082726216,0.997163389172738
4956,156,2307,659.520233432119,6,2124.71676656788,0.33,3,4,0.02,0.02,0.25,0.25,0.02,0.02,0,0,0.1443,2,"GFDL-ESM2M",3.290828914,285.0510445,2784.237474,6,0.010007156,0.00070503,2402.71314,"Nordhaus+CoR&DGreenClimateFund+TecS",0,1,295,9.9,0.063,2,0.4,0.15,0,0.063,0.4,0.021,-8.43425429478478,0.008,"S",228.433970897877,840.292194549184,219.85125666667,71.3487116357537,234.791024204839,0.25,0.25,4,3.18435258605524,0.815647413944761,1.10147460623686,2.38524903396462,3.71577208429649,1.74992806256402,0.25614230582273,2.16550524220772,-100,1054.61371865676,762.879316319423,257.54634,90.2356010680026,27.82166,0,0.877164019185685,0.122835980814315
