"time","Are.N","Ace.N","Are.S","Ace.S","S","RelPrice_N","RelLabor_N","Labor.re_N","Price.re_N","Agg.demand.re.tech_N","Profits.re_N","Yre_N","sre_N","Labor.ce_N","Price.ce_N","Agg.demand.ce.tech_N","Profits.ce_N","Yce_N","sce_N","Y_N","RelPrice_S","RelLabor_S","Labor.re_S","Price.re_S","Agg.demand.re.tech_S","Profits.re_S","Yre_S","sre_S","Labor.ce_S","Price.ce_S","Agg.demand.ce.tech_S","Profits.ce_S","Yce_S","sce_S","Y_S","Delta.Temp","Gamma.re.t_N","Gamma.re.t_S","Gamma.ce.t_N","Gamma.ce.t_S","L_N","L_S","Consumption_N","Consumption_S","Utility.Consumer_N","Utility.Consumer_S","CO2.Concentration","Cost.S.Damage","policy.status","Policy.Start.Time","ce.tax_N","RD.subsidy_N","RD.subsidy.GF_N","Tec.subsidy_N","Tec.subsidy.GF_N","ce.tax_S","RD.subsidy_S","Tec.subsidy_S","dS.lag","Budget.function.N","Budget.function.S","Run.ID","Policy.Duration","Budget.N","Budget.S"
2112,181.38325708843,269.160861049102,55.2900656794059,112.392724279751,2160.25402148615,1.25819479907033,1.38782365509014,0.581208604802833,1.60718827534537,250.487648262056,3.32296914184443,140.269118991305,0.931160688125809,0.418791395197167,1.27737634628033,162.440582857198,0.71831225739453,127.167364050711,0.068839311874191,378.060930096684,1.60849987640043,0.849156998318072,1.83685214200943,1.89400946470185,263.465956514501,2.33009291941425,139.104878526029,0.722739091751637,2.16314785799057,1.17750053480909,310.267661971048,1.37200360123597,263.496833163947,0.277260908248363,560.096146977115,2.57821636293799,0.25,0.25,0.25,0.25,1,4,333.093045727797,124.40413898101,0.224939296335086,0.223781566648253,623.982978513846,0.981493830097281,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0,-2.39136064120098,43.2065283765025,91.9152521316072,4360,245,1915.53651800352,4012.73780801579
2117,185.666721155305,269.607766934283,57.6172531494267,113.438919154254,2148.38907987577,1.24004918188076,1.42873681841426,0.588263334084543,1.59302290425566,256.108811375384,3.39753949170585,144.692163321748,0.936084197210527,0.411736665915457,1.28464493790444,161.329873540792,0.713400700797383,125.583239991557,0.0639158027894734,381.908330092933,1.57441922832108,0.886317423000658,1.87946612207133,1.86515305176469,274.560784562335,2.42821557866929,147.205498391975,0.742381130956082,2.12053387792867,1.18466099639398,309.777036349799,1.36983405473881,261.490027351907,0.257618869043918,570.308606607,2.64020348904918,0.25,0.25,0.25,0.25,1,4,336.449257305561,126.668554477417,0.208807905356447,0.207756329027373,635.847920124229,0.980396856082397,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0,-2.36470087711641,42.7378568838885,91.719003115605,4360,245,1915.53651800352,4012.73780801579
2122,190.074221022959,270.022907938796,60.0439988778974,114.404545791141,2136.67317755306,1.22196813165884,1.47133070126041,0.595359698525986,1.57898895334635,261.869917044599,3.47396631951365,149.261921586378,0.94079029574539,0.404640301474014,1.29216868463079,160.183516281038,0.708331508994752,123.9648647938,0.0592097042546103,385.847874370035,1.54021859014985,0.926115888485098,1.92328175894649,1.83637504487596,286.078179396216,2.53007541858013,155.784179377987,0.762079615262892,2.07671824105351,1.19228209334709,308.901059741207,1.36596048617562,259.083870725619,0.237920384737108,580.559856034027,2.70028724997209,0.25,0.25,0.25,0.25,1,4,339.886255480873,128.94165422299,0.193833395182761,0.192877818807299,647.563822446943,0.979290458286563,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0,-2.33355998927557,42.2547950867084,91.4052802130719,4360,245,1915.53651800352,4012.73780801579
2127,194.608708504237,270.407616937225,62.5725824491209,115.290609581524,2125.12801861482,1.20396533795036,1.5156610472502,0.602490168103898,1.56509825090501,267.773504704883,3.55228331341497,153.981485887573,0.945275642584025,0.397509831896102,1.29995291523047,159.00399015441,0.703115644462802,122.315191797712,0.0547243574159747,389.88446522342,1.5059987232273,0.968681151973246,1.96818291474436,1.80776993955599,298.019923303105,2.63568820169266,164.855005486098,0.781637800859082,2.03181708525564,1.20037946359078,307.655333951761,1.36045188673469,256.298398367671,0.218362199140918,590.868799970521,2.75844126135981,0.25,0.25,0.25,0.25,1,4,343.408396033243,131.227691113866,0.179932801110727,0.179064127102483,659.108981385185,0.978177807227694,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0,-2.29814295594283,41.7580326540537,90.9787560846818,4360,245,1915.53651800352,4012.73780801579
2132,199.273162351272,270.763263820862,65.2046698754086,116.098814458449,2113.77411626229,1.18605396480148,1.56178467731375,0.609647130433856,1.55136198465133,273.822161277096,3.63252479150195,158.853928088726,0.949538269179524,0.390352869566144,1.30800286554499,157.793803927735,0.697764200968443,120.637200486552,0.0504617308204756,394.023072279399,1.47186468969539,1.01413152594467,2.01403237649839,1.77943408553734,310.384646877783,2.74504181698711,174.428853195793,0.800854959471345,1.98596762350161,1.2089658091503,306.059558289205,1.35339536675486,253.158158793849,0.199145040528655,601.255356212458,2.81464681199582,0.25,0.25,0.25,0.25,1,4,347.020093668593,133.531145567443,0.167029107369382,0.166239173056144,670.462883737706,0.977062062562172,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0,-2.25870168309789,41.2482741934314,90.445346578268,4360,245,1915.53651800352,4012.73780801579
2137,204.070591631998,271.091244847153,67.9412894297214,116.831549797786,2102.63057233475,1.16824659491779,1.60975954608808,0.616822936236038,1.53779065757892,280.018530274415,3.71472582262039,163.882304788966,0.953577546372251,0.383177063763961,1.31632368052152,156.555479269812,0.692288329331107,118.933877424271,0.046422453627749,398.268723220052,1.43792308598202,1.06257292129146,2.0606746269628,1.75146304591335,323.167926119803,2.85809713860354,184.513128537792,0.819535340060655,1.9393253730372,1.21805057793978,304.137174629879,1.34489458621333,249.691745267508,0.180464659939345,611.740155927753,2.86889303677801,0.25,0.25,0.25,0.25,1,4,350.725813580686,135.856657614028,0.155050820657133,0.154332291822543,681.606427665253,0.97594633742382,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0,-2.21553138741746,40.7262338198573,89.812103819662,4360,245,1915.53651800352,4012.73780801579
2142,209.004039561663,271.392972252268,70.7828391445386,117.491846341433,2091.71488590905,1.15055518174763,1.6596448076311,0.624009944060657,1.52439405215525,286.365321112285,3.79892234987557,169.069663212519,0.957394133080162,0.375990055939342,1.3249204178454,155.29153455969,0.686699165822951,117.208197917447,0.0426058669198379,402.626495358393,1.40427910113253,1.11409747953371,2.10793965806995,1.72394889537874,336.362542778781,2.97479032833554,195.111666987602,0.837497240179557,1.89206034193005,1.22763978612827,301.914822497905,1.33506734508573,245.931115877307,0.162502759820443,622.344213403427,2.92117695631708,0.25,0.25,0.25,0.25,1,4,354.530063775714,138.208952081199,0.143931574246072,0.143277851415328,692.522114090955,0.974833663858069,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0,-2.16896196588857,40.1926295389934,89.0870515852036,4360,245,1915.53651800352,4012.73780801579
2147,214.076587743084,271.669864268303,73.7291266427005,118.083302853664,2081.04280067965,1.13299100978419,1.71150089021965,0.631200563640976,1.51118120298388,292.865318507796,3.88515131532443,174.419047918656,0.960989908963481,0.368799436359024,1.33379805305933,154.00446950582,0.681007764154737,115.463108641207,0.039010091036519,407.101508181873,1.3710336048577,1.16878292277032,2.1556475947853,1.69697765030925,349.95889479182,3.09503646553886,206.224810755784,0.854581240050268,1.8443524052147,1.23773600026775,299.421635937601,1.32404247411607,241.910743383749,0.145418759949732,633.088587180405,2.97150336103618,0.25,0.25,0.25,0.25,1,4,358.43738826719,140.592761845993,0.133609760462354,0.133014896463363,703.194199320355,0.973726960830216,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0,-2.11935344914622,39.6481775399285,88.2789725485108,4360,245,1915.53651800352,4012.73780801579
2152,219.291360765267,271.923335668916,76.7794385653677,118.609988321646,2070.62819829314,1.1155646631941,1.76538957988925,0.638387297300784,1.49816037785257,299.521391860943,3.97345078442727,179.933508227766,0.964367893427636,0.361612702699216,1.34296148603616,152.696750760113,0.675225031861219,113.701511434112,0.0356321065723637,411.69891695583,1.33828047494972,1.22669267883392,2.20361379995432,1.67062701691061,363.945527145118,3.21873424207142,217.849659715273,0.870656739655428,1.79638620004568,1.24833848224034,296.688431768486,1.31195624528024,237.66665530973,0.129343260344572,643.994055994188,3.01988453025702,0.25,0.25,0.25,0.25,1,4,362.452361224397,143.012754467124,0.12402818950842,0.123486817022907,713.608801706863,0.972629006137322,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0,-2.06708221180634,39.0935865205321,87.3971624095101,4360,245,1915.53651800352,4012.73780801579
2157,224.651531107536,272.15478894714,79.9326338154805,119.076326982811,2060.48304145985,1.09828600270281,1.82137411228404,0.645562778914686,1.48533906692476,306.336504519074,4.06386006895004,185.616106252414,0.96753215351288,0.354437221085314,1.35241554865439,151.370798677615,0.669361671752412,111.926248428764,0.03246784648712,416.423907451293,1.30610434856674,1.28787675932926,2.25165407896679,1.64496461036247,378.309741040844,3.34577134976522,229.980474143746,0.885626184408169,1.74834592103321,1.25944348333851,293.746849844446,1.29894857001214,233.23543591316,0.114373815591831,655.08083121394,3.06633979076887,0.25,0.25,0.25,0.25,1,4,366.579582133173,145.473467116633,0.115133772738552,0.114641040700615,723.753958540147,0.97154241326307,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0,-2.01253465239612,38.5295521856637,86.451169278451,4360,245,1915.53651800352,4012.73780801579
2162,230.160324295411,272.36560620834,83.1872526849167,119.486974882376,2050.61736702758,1.08116415050825,1.87951927231259,0.652719809999089,1.4727239796867,313.313722836848,4.15641984715363,191.469925418849,0.970487703298296,0.347280190000911,1.36216501351286,150.028975338044,0.663428128944829,110.140088645455,0.0295122967017035,421.281691835103,1.27457893175315,1.35237329392005,2.29958960580856,1.62004674416172,393.03823307892,3.47603013334997,242.609192910846,0.899426711232279,1.70041039419144,1.27104465937891,290.628508301611,1.28515926370972,228.653262619131,0.100573288767721,666.368322911821,3.11089493251364,0.25,0.25,0.25,0.25,1,4,370.823672003857,147.97925369387,0.10687722863466,0.106428746447335,733.61963297242,0.970469613831538,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0,-1.9560945010213,37.9567520616133,85.4505374238084,4360,245,1915.53651800352,4012.73780801579
2167,235.821024254995,272.557141840112,86.5416329957924,119.846696840907,2041.03932574144,1.06420748285458,1.93989150105288,0.659851392596677,1.4603210491408,320.456224956359,4.25117228027105,197.498079364406,0.973240397429998,0.340148607403322,1.37221460351294,148.673573910803,0.657434543833569,108.345716136668,0.0267596025700017,426.277505735095,1.24376593669152,1.42021056771747,2.34725124608787,1.59591782535133,408.117716971469,3.60939308889567,255.726022034765,0.912029311975954,1.65274875391213,1.28313356900299,287.364230522089,1.27072462736868,223.955040585038,0.0879706880240461,677.874970203122,3.1535815096843,0.25,0.25,0.25,0.25,1,4,375.189270638461,150.534246530268,0.099212809854879,0.0988045984886312,743.197674258558,0.969412845891522,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0,-1.89813535489809,37.3758407577281,84.404572612179,4360,245,1915.53651800352,4012.73780801579
2172,241.636978814581,272.730716000146,89.9940247269279,120.160251708179,2031.75526259221,1.04742362978053,2.0025590093199,0.666950758704154,1.4481354426374,327.767309245508,4.34816112445091,203.703721099256,0.975796821280305,0.333049241295846,1.38256900213415,147.306809411394,0.651390711217185,106.545719731897,0.0242031787196954,431.416606469886,1.21371464857614,1.49140937862422,2.39448304468981,1.5726103294104,423.535487387901,3.7457478504586,269.320046719197,0.923435915720072,1.60551695531019,1.2957002136007,283.983387430888,1.25577453921938,219.173682654345,0.0765640842799279,689.618139341887,3.19443606235531,0.25,0.25,0.25,0.25,1,4,379.68103494815,153.14233346853,0.0920980498443788,0.0917264989635939,752.481737407792,0.968374147859256,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0,-1.83901240615469,36.7874457801527,83.3221423040369,4360,245,1915.53651800352,4012.73780801579
2177,247.611605305066,272.887608943519,93.5426959554721,120.432291947608,2022.76982976164,1.03081948146518,2.06759189729467,0.674011396078498,1.43617157866605,335.250402346322,4.4474318375263,210.090052326435,0.97816418007132,0.325988603921502,1.39323286423023,145.930810865762,0.645306045648398,104.742584396607,0.0218358199286797,436.704272412351,1.18446206571485,1.56598552828795,2.44114475475283,1.55014527871342,439.279896721535,3.88499140660525,283.379824300163,0.93367498262586,1.55885524524717,1.30873357922009,280.513382011766,1.24043017525603,214.339561898405,0.0663250173741404,701.614086507126,3.23349929625115,0.25,0.25,0.25,0.25,1,4,384.303638293555,155.807149613267,0.0854935276061893,0.0851553579471422,761.467170238363,0.967355357613189,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0,-1.77905660623515,36.1921639681749,82.211518900227,4360,245,1915.53651800352,4012.73780801579
2182,253.748396214556,273.029056192956,97.18602493932,120.667281349122,2014.08612328777,1.01440120052537,2.13506227961674,0.681027070338695,1.42443314887969,342.909066798352,4.54903168014693,216.660332821686,0.980350189069126,0.318972929661305,1.40421082717761,144.547614870474,0.639189552957235,102.938684186766,0.0196498109308741,442.145803438199,1.15603351485236,1.64395228019773,2.48711339082835,1.52853311624639,455.340728421272,4.02703340215773,297.893924300082,0.942796264161717,1.51288660917165,1.32222214720271,276.979285777386,1.2248024017076,209.480143985912,0.0572037358382832,713.877977164022,3.27081525678035,0.25,0.25,0.25,0.25,1,4,389.061770804464,158.532081904447,0.0793626493305439,0.0790548796305075,770.150876712234,0.966358115998594,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0,-1.71857046289195,35.590558586404,81.080269032137,4360,245,1915.53651800352,4012.73780801579
2187,260.050924856953,273.156244539659,100.922575356184,120.869432437821,2005.70583462107,0.99817423957533,2.20504441535886,0.687991843355459,1.41292314460192,350.747008215147,4.65300981098214,223.417889783786,0.98236296669035,0.312008156644541,1.41550752221681,143.15916051163,0.633049807782427,101.136276752122,0.0176370333096496,447.746522396731,1.12844362178864,1.72532265337223,2.53228387653457,1.50777485307172,471.709462701864,4.17179848813529,312.851392726753,0.950865335755039,1.46771612346543,1.33615434919276,273.403622087663,1.20899081687164,204.619789811588,0.0491346642449613,726.423950782333,3.30643052886851,0.25,0.25,0.25,0.25,1,4,393.960140622385,161.320283962188,0.0736714456746872,0.0733913635279764,778.531165378934,0.96538387387163,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0,-1.65782551045008,34.9831570713374,79.9351873822311,4360,245,1915.53651800352,4012.73780801579
2192,266.522851019064,273.270308848562,104.751153739572,121.042663242354,1997.62940901337,0.982143363336166,2.27761484233113,0.694900087989359,1.4016438870645,358.768082003596,4.75941737585971,230.366127076312,0.98421093207715,0.305099912010641,1.42712758583774,141.767285584054,0.626894936852685,99.3374993174384,0.0157890679228496,453.511777529515,1.10169751362777,1.81011146160847,2.57656891740855,1.4878633712588,488.379440328004,4.31922777026087,328.242128788218,0.95795838590249,1.42343108259145,1.35051895175785,269.806280268524,1.19308337134741,199.779706843316,0.0420416140975102,739.265218514717,3.34039348762367,0.25,0.25,0.25,0.25,1,4,399.003475999219,164.174698385439,0.0683883835718204,0.0681335196638967,786.607590986632,0.964433901782327,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0,-1.59706131828767,34.3704494023919,78.7822701954269,4360,245,1915.53651800352,4012.73780801579
2197,273.167926555787,273.372329630573,108.670849768399,121.190571692396,1989.85620392864,0.966312674580568,2.35285251519958,0.701746499296741,1.390597060638,366.976299626607,4.86830759084657,237.508534292756,0.985902708403871,0.298253500703259,1.43907567107261,140.373724035113,0.620732607683269,97.5443660516376,0.0140972915961292,459.446945754681,1.07579213930923,1.89833704871034,2.61989826139101,1.46878477899233,505.345936957893,4.46927946645561,344.057171742064,0.964157592500621,1.38010173860899,1.36530536459899,266.204537967168,1.17715646689082,194.978020939188,0.0358424074993791,752.414181840984,3.37275361759232,0.25,0.25,0.25,0.25,1,4,404.19652817792,167.098083780411,0.063484191528324,0.0632522967719363,794.380796071361,0.963509301443984,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0,-1.53648619142583,33.7528870470885,77.6267216569227,4360,245,1915.53651800352,4012.73780801579
2202,279.99000090792,273.463331335322,112.681061184397,121.316425060012,1982.38464212874,0.950685643212222,2.43083894694844,0.708526102372293,1.37978374834966,375.37583441879,4.97973581939967,244.848695587982,0.987447032891118,0.291473897627707,1.45135645857402,138.98010454416,0.614570022294277,95.7587667200034,0.0125529671088815,465.557436729286,1.05071761402354,1.99002270474201,2.66221751639002,1.45051973596339,522.60616423126,4.62192891646126,360.288902849129,0.969547267289114,1.33778248360998,1.3805038733565,262.613166666865,1.16127542300088,190.229938311117,0.0304527327108856,765.882561661705,3.40356091131962,0.25,0.25,0.25,0.25,1,4,409.544074976221,170.093044131725,0.0589316974430574,0.0587207226088123,801.852357871264,0.962611018236427,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0,-1.47627800127028,33.1308824177124,76.4729855418289,4360,245,1915.53651800352,4012.73780801579
2207,286.993026522031,273.544281311128,116.781505740872,121.423161489546,1975.21235557057,0.935265137807578,2.51165835326552,0.715234257036966,1.36920446902507,383.97102697257,5.09375964381811,252.390298230165,0.988852674230432,0.284765742963034,1.4639746673705,137.587950139005,0.608413915514682,93.9824665041045,0.0111473257695681,471.84869759956,1.02645851575579,2.0851977745802,2.70348668310437,1.43304469035951,540.159214861607,4.77716809623605,376.931172136785,0.974210824760518,1.29651331689563,1.39610580297475,259.044595887483,1.14549520301445,185.547968739565,0.0257891752394823,779.68152937118,3.43286535174167,0.25,0.25,0.25,0.25,1,4,415.050924992109,173.162058595151,0.0547056780517999,0.0545137555479112,809.024644429428,0.961739854118678,1,9.9,0.3,2,0.5,0.1,0,0.3,0.5,0,-1.41658671600532,32.5048087713659,75.324794718127,4360,245,1915.53651800352,4012.73780801579
